Drug,Tissue,Model,Features,Test Accuracy,Test Balanced Accuracy,Test ROC AUC
Pembro,STAD,LogisticRegression,cosmic1,0.7777777777777778,0.6785714285714286,0.5714285714285714
Pembro,STAD,LogisticRegression,cosmic1,0.6666666666666666,0.6071428571428572,0.5
Pembro,STAD,LogisticRegression,cosmic1,0.7777777777777778,0.6785714285714286,0.8571428571428572
Pembro,STAD,LogisticRegression,cosmic1,0.8888888888888888,0.9285714285714286,0.9285714285714286
Pembro,STAD,LogisticRegression,cosmic1,0.7777777777777778,0.8571428571428572,1.0
Pembro,STAD,LogisticRegression,cosmic1,0.6666666666666666,0.6071428571428572,0.5
Pembro,STAD,LogisticRegression,cosmic1,0.7777777777777778,0.6785714285714286,0.8571428571428572
Pembro,STAD,LogisticRegression,cosmic1,0.6666666666666666,0.6071428571428572,0.35714285714285715
Pembro,STAD,LogisticRegression,cosmic1,0.7777777777777778,0.6785714285714286,0.8571428571428572
Pembro,STAD,LogisticRegression,cosmic1,0.5555555555555556,0.5357142857142857,0.4285714285714286
Pembro,STAD,LogisticRegression,cosmic1,0.7777777777777778,0.6785714285714286,0.5
Pembro,STAD,LogisticRegression,cosmic1,0.8888888888888888,0.9285714285714286,1.0
Pembro,STAD,LogisticRegression,cosmic1,0.7777777777777778,0.6785714285714286,0.6428571428571428
Pembro,STAD,LogisticRegression,cosmic1,0.7777777777777778,0.5,0.14285714285714285
Pembro,STAD,LogisticRegression,cosmic1,0.8888888888888888,0.75,0.5
Pembro,STAD,LogisticRegression,cosmic1,1.0,1.0,1.0
Pembro,STAD,LogisticRegression,cosmic1,0.7777777777777778,0.8571428571428572,1.0
Pembro,STAD,LogisticRegression,cosmic1,0.7777777777777778,0.6785714285714286,0.7142857142857143
Pembro,STAD,LogisticRegression,cosmic1,0.8888888888888888,0.9285714285714286,1.0
Pembro,STAD,LogisticRegression,cosmic1,0.7777777777777778,0.8571428571428572,1.0
Pembro,STAD,LogisticRegression,cosmic1,0.7777777777777778,0.6785714285714286,0.5
Pembro,STAD,LogisticRegression,cosmic1,0.7777777777777778,0.6785714285714286,0.8571428571428572
Pembro,STAD,LogisticRegression,cosmic1,1.0,1.0,1.0
Pembro,STAD,LogisticRegression,cosmic1,0.7777777777777778,0.5,0.7142857142857143
Pembro,STAD,LogisticRegression,cosmic1,0.7777777777777778,0.6785714285714286,0.5
Pembro,STAD,LogisticRegression,cosmic2,0.7777777777777778,0.6785714285714286,0.5714285714285714
Pembro,STAD,LogisticRegression,cosmic2,0.6666666666666666,0.42857142857142855,0.5
Pembro,STAD,LogisticRegression,cosmic2,0.4444444444444444,0.4642857142857143,0.5714285714285714
Pembro,STAD,LogisticRegression,cosmic2,0.6666666666666666,0.42857142857142855,0.2857142857142857
Pembro,STAD,LogisticRegression,cosmic2,0.8888888888888888,0.75,0.7142857142857143
Pembro,STAD,LogisticRegression,cosmic2,0.8888888888888888,0.75,0.8571428571428572
Pembro,STAD,LogisticRegression,cosmic2,0.6666666666666666,0.42857142857142855,0.5
Pembro,STAD,LogisticRegression,cosmic2,0.2222222222222222,0.3214285714285714,0.4285714285714286
Pembro,STAD,LogisticRegression,cosmic2,0.8888888888888888,0.75,0.7857142857142857
Pembro,STAD,LogisticRegression,cosmic2,0.8888888888888888,0.75,0.5
Pembro,STAD,LogisticRegression,cosmic2,0.6666666666666666,0.42857142857142855,0.5
Pembro,STAD,LogisticRegression,cosmic2,0.8888888888888888,0.75,1.0
Pembro,STAD,LogisticRegression,cosmic2,0.7777777777777778,0.6785714285714286,0.6428571428571429
Pembro,STAD,LogisticRegression,cosmic2,0.5555555555555556,0.7142857142857143,1.0
Pembro,STAD,LogisticRegression,cosmic2,0.8888888888888888,0.75,0.6428571428571428
Pembro,STAD,LogisticRegression,cosmic2,0.8888888888888888,0.9285714285714286,0.9285714285714286
Pembro,STAD,LogisticRegression,cosmic2,0.8888888888888888,0.75,0.8571428571428572
Pembro,STAD,LogisticRegression,cosmic2,0.7777777777777778,0.5,0.5
Pembro,STAD,LogisticRegression,cosmic2,1.0,1.0,1.0
Pembro,STAD,LogisticRegression,cosmic2,0.7777777777777778,0.6785714285714286,0.7857142857142857
Pembro,STAD,LogisticRegression,cosmic2,0.5555555555555556,0.35714285714285715,0.2857142857142857
